symbol,date,open,high,low,close,volume
NZDUSD,2025-07-04,0.60634,0.60821,0.60482,0.6054,196599
NZDUSD,2025-07-03,0.60864,0.60929,0.60301,0.60634,304164
NZDUSD,2025-07-02,0.60984,0.61061,0.60496,0.60864,162999
NZDUSD,2025-07-01,0.60955,0.61204,0.60753,0.60984,299466
NZDUSD,2025-06-30,0.60513,0.60981,0.60513,0.60947,154278
NZDUSD,2025-06-29,0.60584,0.60775,0.60525,0.60659,37681
NZDUSD,2025-06-27,0.60522,0.60774,0.60361,0.60513,159893
NZDUSD,2025-06-26,0.60349,0.60739,0.60275,0.60522,380480
NZDUSD,2025-06-25,0.60052,0.60418,0.59996,0.60349,135813
NZDUSD,2025-06-24,0.5973,0.60404,0.59632,0.60052,188453
NZDUSD,2025-06-23,0.5942,0.59799,0.58821,0.5973,245448
NZDUSD,2025-06-22,0.59645,0.59677,0.59174,0.59208,62193
NZDUSD,2025-06-20,0.59918,0.60084,0.59567,0.59588,152241
NZDUSD,2025-06-19,0.60276,0.6032,0.5958,0.59918,307664
NZDUSD,2025-06-18,0.60113,0.60561,0.60074,0.60276,202449
NZDUSD,2025-06-17,0.60588,0.60789,0.60092,0.60113,180713
NZDUSD,2025-06-16,0.60084,0.6087,0.59979,0.60588,194360
NZDUSD,2025-06-15,0.60121,0.60277,0.60031,0.60091,63077
NZDUSD,2025-06-13,0.60679,0.60683,0.59941,0.60102,257553
NZDUSD,2025-06-12,0.60263,0.60703,0.60048,0.60679,367014
NZDUSD,2025-06-11,0.60507,0.60652,0.60208,0.60263,160839
NZDUSD,2025-06-10,0.60455,0.60578,0.6027,0.60507,161673
NZDUSD,2025-06-09,0.60102,0.60647,0.60102,0.60455,126431
NZDUSD,2025-06-08,0.60165,0.60427,0.6014,0.60349,31362
NZDUSD,2025-06-06,0.60335,0.60495,0.60056,0.60102,166078
NZDUSD,2025-06-05,0.60253,0.60795,0.60216,0.60335,343136
NZDUSD,2025-06-04,0.59944,0.60384,0.5989,0.60253,145974
NZDUSD,2025-06-03,0.60335,0.60537,0.59865,0.59944,149298
NZDUSD,2025-06-02,0.59583,0.6043,0.59551,0.60335,171924
NZDUSD,2025-06-01,0.59623,0.601,0.59623,0.59931,41772
NZDUSD,2025-05-30,0.59613,0.59889,0.59464,0.59583,176225
NZDUSD,2025-05-29,0.5966,0.59913,0.59244,0.59613,402528
NZDUSD,2025-05-28,0.59468,0.59787,0.5923,0.5966,157440
