date,open,high,low,close
2025-09-07,1.17014,1.17233,1.17,1.1709
2025-09-08,1.1714,1.17658,1.17036,1.17633
2025-09-09,1.17619,1.17801,1.17039,1.1711
2025-09-10,1.17096,1.1731,1.16825,1.16943
2025-09-11,1.16954,1.17461,1.16606,1.17354
2025-09-12,1.17333,1.17478,1.1701,1.17352
2025-09-14,1.17265,1.17744,1.17171,1.17265
2025-09-15,1.17331,1.17746,1.17162,1.17609
2025-09-16,1.17634,1.18784,1.17574,1.18668
2025-09-17,1.18606,1.19188,1.18078,1.18126
2025-09-18,1.18127,1.18484,1.17501,1.17861
2025-09-19,1.17889,1.17928,1.17288,1.17472
2025-09-21,1.17396,1.17475,1.1735,1.17361
2025-09-22,1.17385,1.18032,1.17262,1.18025
2025-09-23,1.1798,1.182,1.1779,1.18148
2025-09-24,1.18139,1.18194,1.17282,1.1738
2025-09-25,1.17395,1.1754,1.16456,1.1666
2025-09-26,1.16615,1.17074,1.16582,1.17002
2025-09-28,1.1703,1.1733,1.1702,1.17284
2025-09-29,1.1703,1.17546,1.1702,1.17267
2025-09-30,1.1727,1.17618,1.17122,1.17336
2025-10-01,1.17356,1.17787,1.17155,1.17312
2025-10-02,1.17308,1.17584,1.16832,1.17165
2025-10-03,1.17146,1.17594,1.17146,1.17429
2025-10-05,1.17125,1.17316,1.16541,1.17125
2025-10-06,1.17266,1.17309,1.16518,1.17134
2025-10-07,1.17102,1.17155,1.16477,1.16585
2025-10-08,1.16568,1.16614,1.15984,1.1628
2025-10-09,1.1627,1.16483,1.1542,1.15648
2025-10-10,1.1561,1.16308,1.1557,1.16224
2025-10-12,1.16024,1.16297,1.15594,1.16024
2025-10-13,1.16114,1.16299,1.15575,1.15707
2025-10-14,1.15704,1.16152,1.15424,1.16079
2025-10-15,1.16078,1.16478,1.16019,1.16466
2025-10-16,1.16458,1.16942,1.1643,1.16877
2025-10-17,1.16857,1.17285,1.16502,1.16511
2025-10-19,1.16575,1.16768,1.16454,1.16575
2025-10-20,1.1667,1.16756,1.16382,1.16413
2025-10-21,1.16426,1.16553,1.15977,1.16
2025-10-22,1.15998,1.16226,1.1577,1.161
2025-10-23,1.16124,1.16202,1.15854,1.16181
2025-10-24,1.16168,1.16503,1.16009,1.16254
2025-10-26,1.16358,1.16479,1.16258,1.16304
2025-10-27,1.16358,1.1652,1.16178,1.1645
2025-10-28,1.16456,1.16688,1.16256,1.16522
2025-10-29,1.1651,1.16659,1.15776,1.16006
2025-10-30,1.1601,1.16374,1.1547,1.15653
2025-10-31,1.15673,1.15776,1.15216,1.15363
2025-11-02,1.15296,1.1538,1.15251,1.15269
2025-11-03,1.15317,1.15414,1.15052,1.1519
2025-11-04,1.152,1.15337,1.14732,1.14826
2025-11-05,1.14834,1.14981,1.14686,1.14925
2025-11-06,1.14913,1.15523,1.14907,1.15471
2025-11-07,1.1545,1.15911,1.15296,1.15664
2025-11-09,1.1558,1.15582,1.15408,1.15429
2025-11-10,1.15578,1.15831,1.15412,1.15571
2025-11-11,1.15564,1.16059,1.15472,1.15825
2025-11-12,1.1587,1.15977,1.1563,1.15932
2025-11-13,1.1593,1.16562,1.1579,1.16345
2025-11-14,1.16372,1.16538,1.1606,1.1622
2025-11-16,1.16221,1.16241,1.16112,1.16141
2025-11-17,1.16199,1.16246,1.1582,1.15923
2025-11-18,1.15923,1.16078,1.15715,1.15807
2025-11-19,1.15818,1.15975,1.15178,1.15384
2025-11-20,1.1539,1.155,1.15024,1.15285
2025-11-21,1.15275,1.15525,1.14912,1.1513
2025-11-23,1.15193,1.15218,1.15019,1.15208
2025-11-24,1.15193,1.15506,1.15019,1.15216
2025-11-25,1.15218,1.15861,1.15116,1.15697
2025-11-26,1.15706,1.16009,1.15471,1.15963
2025-11-27,1.15935,1.16136,1.15766,1.1596
2025-11-28,1.15962,1.16076,1.15553,1.15985
2025-11-30,1.15935,1.16075,1.15913,1.16006
2025-12-01,1.15938,1.16526,1.15894,1.16092
2025-12-02,1.16104,1.1626,1.15912,1.16254
2025-12-03,1.16242,1.16778,1.16211,1.16714
2025-12-04,1.16716,1.1682,1.1641,1.16449
2025-12-05,1.16464,1.16718,1.1628,1.16438
2025-12-07,1.16401,1.16555,1.16395,1.16548
2025-12-08,1.16401,1.16722,1.16165,1.1637
2025-12-09,1.16352,1.16573,1.16151,1.16266
2025-12-10,1.16275,1.16998,1.16216,1.16958
2025-12-11,1.16928,1.17628,1.16823,1.17386
2025-12-12,1.17388,1.17498,1.17196,1.17403
2025-12-14,1.1733,1.17448,1.17286,1.17336
2025-12-15,1.1733,1.1769,1.17265,1.17539
2025-12-16,1.17521,1.18042,1.17346,1.1748
2025-12-17,1.17476,1.17582,1.17031,1.17401
2025-12-18,1.17408,1.17628,1.17124,1.17236
2025-12-19,1.17203,1.17378,1.17024,1.17096
2025-12-21,1.17196,1.17213,1.17064,1.17208
2025-12-22,1.17196,1.17694,1.17064,1.17619
2025-12-23,1.1758,1.18022,1.17571,1.17934
2025-12-24,1.17927,1.1808,1.17726,1.1777
2025-12-25,1.17805,1.17936,1.17767,1.17849
2025-12-26,1.17805,1.17968,1.17616,1.1771
2025-12-28,1.1768,1.17864,1.17652,1.17658
2025-12-29,1.1768,1.17891,1.17494,1.17726
2025-12-30,1.1771,1.17798,1.17434,1.1748
2025-12-31,1.17466,1.17595,1.172,1.17459
